# Saarthi dynamic block geography — India-wide LGD registry.
# GENERATED by scripts/build_india_blocks.py — do not hand-edit rows.
# Hierarchy + LGD codes: Ministry of Panchayati Raj LGD block table via the
# India Data Portal CKAN mirror (ODbL):
# https://ckandev.indiadataportal.com/dataset/lgd-codes (block-lgd-codes.csv).
# Coordinates: Sangrur/Malerkotla seed rows are Bhuvan polygon bbox-centres
# (location_method=bhuvan_polygon_centroid); rows joined to the bharatlas
# LGD block polygons use true polygon bbox-centres
# (location_method=polygon_centroid); the small remainder without polygons
# uses Open-Meteo geocoding town locations accepted ONLY on admin1
# (state) match (location_method=geocoded_centroid). Per-row queries in
# data/processed/geography/blocks_build.json. Rows without verified
# coordinates are DROPPED (never invented) — see skipped list there.
# Legacy deviations: 'Moonak' keeps Bhuvan ID bhuvan_b_274 (no current LGD
# development-block entry); legacy 'Lehra' = LGD 'Lehragaga' (344).
state_code,state_name,district_code,district_name,block_code,block_name,latitude,longitude,location_method
1,Jammu and Kashmir,620,Kishtwar,50,Nagseni,33.36295,75.93442,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,51,Padder,33.3156,76.4088,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,55,Warwan,33.9462,75.77541,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,6901,Palmar,33.40548,75.73619,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,6902,Trigam,33.2541,75.80782,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,6903,Thakraie,33.30798,75.66157,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,6904,Bunjwah,33.14368,76.01038,polygon_centroid
1,Jammu and Kashmir,620,Kishtwar,6905,Mughalmaidan,33.42399,75.65183,polygon_centroid
1,Jammu and Kashmir,621,Ramban,127,Gool,33.27415,75.05787,polygon_centroid
1,Jammu and Kashmir,621,Ramban,38,Banihal,33.42445,75.22519,polygon_centroid
1,Jammu and Kashmir,621,Ramban,52,Ramban,33.23423,75.24477,polygon_centroid
1,Jammu and Kashmir,621,Ramban,53,Ramsoo,33.39908,75.17328,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6946,Batote,33.12122,75.30948,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6947,Rajgarh,33.20742,75.32604,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6948,Ukhral,33.34911,75.31116,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6949,Sangaldan,33.25268,75.11673,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6950,Gundi Dharam,33.34144,75.04041,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6951,Gandhri,33.19665,75.18332,polygon_centroid
1,Jammu and Kashmir,621,Ramban,6952,Khari,33.40898,75.13901,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,4,Devsar,33.65513,75.09223,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,5,D.h. Pora,33.58588,74.8058,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,6889,Kund,33.57673,75.14976,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,6890,Manzgam,33.59093,74.87607,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,6891,Frisal,33.75091,75.04471,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,6892,Pombay,33.64151,74.93226,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,6893,Behibag,33.70965,74.98585,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,6894,D K Marg,33.55742,75.01868,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,7,Kulgam,33.66075,74.98209,polygon_centroid
1,Jammu and Kashmir,622,Kulgam,8,Pahloo,33.5975,75.07596,polygon_centroid
