forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2016-06-02,train,2,Sangrur,2016-06-04,0.0,28,2016.06.02,2016.06.04,0.06762964472998971
2016-06-02,train,2,Sunam,2016-06-04,0.0,28,2016.06.02,2016.06.04,0.0525047559856821
2016-06-02,train,3,Dhuri,2016-06-05,0.0,22,2016.06.02,2016.06.05,0.0
2016-06-02,train,3,Lehra,2016-06-05,0.0,16,2016.06.02,2016.06.05,0.0
2016-06-02,train,3,Malerkotla,2016-06-05,0.0,28,2016.06.02,2016.06.05,0.00047155853726075126
2016-06-02,train,3,Moonak,2016-06-05,0.0,12,2016.06.02,2016.06.05,0.048386569319752694
2016-06-02,train,3,Sangrur,2016-06-05,0.0,28,2016.06.02,2016.06.05,0.06762964472998971
2016-06-02,train,3,Sunam,2016-06-05,0.0,28,2016.06.02,2016.06.05,0.0525047559856821
2016-06-02,train,4,Dhuri,2016-06-06,0.0,22,2016.06.02,2016.06.06,0.0
2016-06-02,train,4,Lehra,2016-06-06,0.0,16,2016.06.02,2016.06.06,0.0
2016-06-02,train,4,Malerkotla,2016-06-06,0.0,28,2016.06.02,2016.06.06,0.00047155853726075126
2016-06-02,train,4,Moonak,2016-06-06,0.0,12,2016.06.02,2016.06.06,0.048386569319752694
2016-06-02,train,4,Sangrur,2016-06-06,0.0,28,2016.06.02,2016.06.06,0.06762964472998971
2016-06-02,train,4,Sunam,2016-06-06,0.0,28,2016.06.02,2016.06.06,0.0525047559856821
2016-06-02,train,5,Dhuri,2016-06-07,0.0137287250465967,22,2016.06.02,2016.06.07,0.0
2016-06-02,train,5,Lehra,2016-06-07,0.0704913176596164,16,2016.06.02,2016.06.07,0.0
2016-06-02,train,5,Malerkotla,2016-06-07,0.0015484944243715,28,2016.06.02,2016.06.07,0.00047155853726075126
2016-06-02,train,5,Moonak,2016-06-07,0.0712966776142517,12,2016.06.02,2016.06.07,0.048386569319752694
2016-06-02,train,5,Sangrur,2016-06-07,0.0248192052489944,28,2016.06.02,2016.06.07,0.06762964472998971
2016-06-02,train,5,Sunam,2016-06-07,0.0476819699231003,28,2016.06.02,2016.06.07,0.0525047559856821
2016-06-02,train,6,Dhuri,2016-06-08,0.0310575414279645,22,2016.06.02,2016.06.08,0.0
