block,start,end,duration,jjas,train,eval_period
Sangrur,2014-07-07,2014-07-12,6,1,1,0
Sangrur,2014-08-06,2014-08-15,10,1,1,0
Sangrur,2014-08-17,2014-08-26,10,1,1,0
Sangrur,2014-09-22,2014-09-29,8,1,1,0
Sangrur,2014-10-02,2014-10-06,5,0,1,0
Sangrur,2014-10-15,2014-12-12,59,0,1,0
Sangrur,2014-12-15,2015-01-01,18,0,1,0
Sangrur,2015-01-03,2015-01-21,19,0,1,0
Sangrur,2015-01-23,2015-02-01,10,0,1,0
Sangrur,2015-02-04,2015-02-15,12,0,1,0
Sangrur,2015-03-09,2015-03-13,5,0,1,0
Sangrur,2015-03-16,2015-03-28,13,0,1,0
Sangrur,2015-04-05,2015-04-11,7,0,1,0
Sangrur,2015-04-20,2015-04-26,7,0,1,0
Sangrur,2015-05-01,2015-05-05,5,0,1,0
Sangrur,2015-05-14,2015-06-22,40,0,1,0
Sangrur,2015-08-25,2015-08-31,7,1,1,0
Sangrur,2015-09-08,2015-09-14,7,1,1,0
Sangrur,2015-09-28,2015-10-13,16,1,1,0
Sangrur,2015-10-15,2015-10-24,10,0,1,0
Sangrur,2015-10-27,2016-01-03,69,0,1,0
Sangrur,2016-01-05,2016-02-18,45,0,1,0
Sangrur,2016-02-21,2016-03-04,13,0,1,0
Sangrur,2016-03-06,2016-03-10,5,0,1,0
Sangrur,2016-03-14,2016-04-03,21,0,1,0
Sangrur,2016-04-05,2016-05-09,35,0,1,0
Sangrur,2016-05-11,2016-05-20,10,0,1,0
Sangrur,2016-05-31,2016-06-13,14,0,1,0
Sangrur,2016-06-21,2016-06-25,5,1,1,0
Sangrur,2016-07-19,2016-07-25,7,1,1,0
Sangrur,2016-09-08,2016-09-13,6,1,1,0
Sangrur,2016-09-25,2016-09-29,5,1,1,0
Sangrur,2016-10-01,2016-10-08,8,0,1,0
Sangrur,2016-10-10,2017-01-24,107,0,1,0
