issue,offset,block,phase,amp,active,jjas,anom_mm,expected_mm,pct
2018-05-06,3,Moonak,8,1.7202729,True,0,-3.3142738015766167,4.4375,-74.68786031721953
2018-05-06,3,Sangrur,8,1.7202729,True,0,-0.3015879020242602,4.6925,-6.427019755445077
2018-05-06,3,Sunam,8,1.7202729,True,0,-1.9992500213714015,4.6863,-42.661588489243144
2018-05-07,3,Dhuri,8,1.5932829,True,0,-2.8872171835483336,5.478,-52.70568060511744
2018-05-07,3,Lehra,8,1.5932829,True,0,-4.6602,4.6602,-100.0
2018-05-07,3,Malerkotla,8,1.5932829,True,0,-2.3625441918461094,6.380599999999999,-37.026991064259
2018-05-07,3,Moonak,8,1.5932829,True,0,-4.379261994253512,4.4658,-98.06220597101331
2018-05-07,3,Sangrur,8,1.5932829,True,0,-2.325689559359189,4.7419,-49.045520980180704
2018-05-07,3,Sunam,8,1.5932829,True,0,-3.6775776407686545,4.700200000000001,-78.24300329280996
2018-05-08,3,Dhuri,1,1.694373,True,0,-2.949217183548334,5.54,-53.234967212063786
2018-05-08,3,Lehra,1,1.694373,True,0,-4.6634,4.6634,-100.0
2018-05-08,3,Malerkotla,1,1.694373,True,0,-2.3845441918461097,6.4026,-37.24337287736404
2018-05-08,3,Moonak,1,1.694373,True,0,-4.3920619942535115,4.478599999999999,-98.06774425609592
2018-05-08,3,Sangrur,1,1.694373,True,0,-2.379389559359189,4.7956,-49.61609724245535
2018-05-08,3,Sunam,1,1.694373,True,0,-3.6771776407686545,4.699800000000001,-78.24115155471837
2018-05-09,3,Dhuri,1,2.0090384,True,0,-2.8986171835483336,5.4894,-52.8038981227153
2018-05-09,3,Lehra,1,2.0090384,True,0,-4.6402,4.6402,-100.0
2018-05-09,3,Malerkotla,1,2.0090384,True,0,-2.2745441918461102,6.2926,-36.146333659315864
2018-05-09,3,Moonak,1,2.0090384,True,0,-4.375861994253512,4.4624,-98.06072952342937
2018-05-09,3,Sangrur,1,2.0090384,True,0,-2.354989559359189,4.7712,-49.35843308516073
2018-05-09,3,Sunam,1,2.0090384,True,0,-3.650377640768655,4.673000000000001,-78.11636295246424
2018-05-10,3,Dhuri,1,2.0944312,True,0,-3.5983546119822565,5.4645,-65.84965892546904
2018-05-10,3,Lehra,1,2.0944312,True,0,-4.6277,4.6277,-100.0
2018-05-10,3,Malerkotla,1,2.0944312,True,0,-3.1418832466133297,6.2141,-50.56055175509454
2018-05-10,3,Moonak,1,2.0944312,True,0,-4.358063939900534,4.4371,-98.21874512407955
2018-05-10,3,Sangrur,1,2.0944312,True,0,-3.1696722752105146,4.763,-66.5478117827108
2018-05-10,3,Sunam,1,2.0944312,True,0,-3.9105012664504852,4.667,-83.79047067603354
2018-05-11,3,Dhuri,1,2.1339943,True,0,-4.547781400442964,5.2722,-86.25965252537772
2018-05-11,3,Lehra,1,2.1339943,True,0,-4.583500000000001,4.583500000000001,-100.0
2018-05-11,3,Malerkotla,1,2.1339943,True,0,-4.6873316697226395,5.94,-78.9113075710882
2018-05-11,3,Moonak,1,2.1339943,True,0,-4.378252425039918,4.394,-99.64161185798629
2018-05-11,3,Sangrur,1,2.1339943,True,0,-4.014760622064562,4.6518999999999995,-86.30367424202073
2018-05-11,3,Sunam,1,2.1339943,True,0,-4.397939510265035,4.6059,-95.48491088093607
2018-05-12,3,Dhuri,1,2.2717528,True,0,-4.646579114675576,5.0041,-92.85544083202925
2018-05-12,3,Lehra,1,2.2717528,True,0,-4.382756963207421,4.3832,-99.9898923892914
2018-05-12,3,Malerkotla,1,2.2717528,True,0,-4.984774605062627,5.631600000000001,-88.51435835397803
2018-05-12,3,Moonak,1,2.2717528,True,0,-4.201267810967452,4.2076,-99.84950591708936
2018-05-12,3,Sangrur,1,2.2717528,True,0,-4.186088777661624,4.4409,-94.26217157922096
2018-05-12,3,Sunam,1,2.2717528,True,0,-4.324370439498868,4.4047,-98.1762762389917
2018-05-13,3,Dhuri,1,2.5667043,True,0,-4.74909442813094,4.7517,-99.9451654803742
2018-05-13,3,Lehra,1,2.5667043,True,0,-4.215313926414842,4.216200000000001,-99.97898407131638
2018-05-13,3,Malerkotla,1,2.5667043,True,0,-5.362825130988916,5.3812,-99.65853584681697
2018-05-13,3,Moonak,1,2.5667043,True,0,-4.0501000000000005,4.0501000000000005,-100.0
2018-05-13,3,Sangrur,1,2.5667043,True,0,-4.2362,4.2362,-100.0
2018-05-13,3,Sunam,1,2.5667043,True,0,-4.2279,4.2279,-100.0
2018-05-14,3,Dhuri,1,2.4794202,True,0,-4.414391642196411,4.4183,-99.91154159283911
2018-05-14,3,Lehra,1,2.4794202,True,0,-4.033170889622263,4.0345,-99.96705637928522
2018-05-14,3,Malerkotla,1,2.4794202,True,0,-4.992537696483374,5.020099999999999,-99.45096106618143
2018-05-14,3,Moonak,1,2.4794202,True,0,-3.9257000000000004,3.9257000000000004,-100.0
2018-05-14,3,Sangrur,1,2.4794202,True,0,-3.9854000000000003,3.9854000000000003,-100.0
2018-05-14,3,Sunam,1,2.4794202,True,0,-4.0243,4.0243,-100.0
2018-05-15,3,Dhuri,1,2.1987405,True,0,-4.09258885626188,4.097799999999999,-99.87283069602911
2018-05-15,3,Lehra,1,2.1987405,True,0,-3.911827852829683,3.9135999999999997,-99.95471823460966
2018-05-15,3,Malerkotla,1,2.1987405,True,0,-4.601050261977832,4.6377999999999995,-99.2076040790425
2018-05-15,3,Moonak,1,2.1987405,True,0,-3.8516,3.8516,-100.0
2018-05-15,3,Sangrur,1,2.1987405,True,0,-3.7656000000000005,3.7656000000000005,-100.0
2018-05-15,3,Sunam,1,2.1987405,True,0,-3.8742,3.8742,-100.0
2018-05-16,3,Dhuri,1,2.0319748,True,0,-3.9301860703273506,3.9367,-99.8345332468146
2018-05-16,3,Lehra,1,2.0319748,True,0,-3.863384816037104,3.8656,-99.94269495129097
2018-05-16,3,Malerkotla,1,2.0319748,True,0,-4.42746282747229,4.4734,-98.97310384656615
2018-05-16,3,Moonak,1,2.0319748,True,0,-3.8608000000000002,3.8608000000000002,-100.0
2018-05-16,3,Sangrur,1,2.0319748,True,0,-3.6466000000000003,3.6466000000000003,-100.0
2018-05-16,3,Sunam,1,2.0319748,True,0,-3.7946,3.7946,-100.0
2018-05-17,3,Dhuri,1,2.0258901,True,0,-3.7645860703273506,3.7711,-99.8272671190727
2018-05-17,3,Lehra,1,2.0258901,True,0,-3.808816168494817,3.8112999999999997,-99.9348298085907
2018-05-17,3,Malerkotla,1,2.0258901,True,0,-4.25546282747229,4.3014,-98.93204136960735
2018-05-17,3,Moonak,1,2.0258901,True,0,-3.8788,3.8788,-100.0
2018-05-17,3,Sangrur,1,2.0258901,True,0,-3.5262000000000002,3.5262000000000002,-100.0
2018-05-17,3,Sunam,1,2.0258901,True,0,-3.7107,3.7107,-100.0
2018-05-18,3,Dhuri,2,2.0143003,True,0,-3.7925860703273506,3.7991,-99.82854018918562
2018-05-18,3,Lehra,2,2.0143003,True,0,-3.81624752095253,3.819,-99.92792670731946
2018-05-18,3,Malerkotla,2,2.0143003,True,0,-4.31316282747229,4.3591,-98.94617759336309
2018-05-18,3,Moonak,2,2.0143003,True,0,-3.9463999999999997,3.9463999999999997,-100.0
2018-05-18,3,Sangrur,2,2.0143003,True,0,-3.5387000000000004,3.5387000000000004,-100.0
2018-05-18,3,Sunam,2,2.0143003,True,0,-3.7233,3.7233,-100.0
2018-05-19,3,Dhuri,2,2.1128242,True,0,-3.83748885626188,3.8427,-99.86438848366721
2018-05-19,3,Lehra,2,2.1128242,True,0,-3.8508219102028227,3.8534,-99.93309571295019
2018-05-19,3,Malerkotla,2,2.1128242,True,0,-4.382750261977833,4.4195,-99.16846389812949
2018-05-19,3,Moonak,2,2.1128242,True,0,-4.0136,4.0136,-100.0
2018-05-19,3,Sangrur,2,2.1128242,True,0,-3.5719000000000003,3.5719000000000003,-100.0
2018-05-19,3,Sunam,2,2.1128242,True,0,-3.7803000000000004,3.7803000000000004,-100.0
2018-05-20,3,Dhuri,2,2.122035,True,0,-3.758189908348599,3.763,-99.87217401936219
2018-05-20,3,Lehra,2,2.122035,True,0,-3.693991662499954,3.6964000000000006,-99.93484640460863
2018-05-20,3,Malerkotla,2,2.122035,True,0,-4.359535308274135,4.3922,-99.25630226934419
2018-05-20,3,Moonak,2,2.122035,True,0,-3.8806,3.8806,-100.0
2018-05-20,3,Sangrur,2,2.122035,True,0,-3.4697970298711636,3.4698,-99.99991440057535
2018-05-20,3,Sunam,2,2.122035,True,0,-3.6673,3.6673,-100.0
2018-05-21,3,Dhuri,2,2.0887959,True,0,-3.7604872114314354,3.7868999999999997,-99.30252215351437
2018-05-21,3,Lehra,2,2.0887959,True,0,-3.555452861371789,3.5601000000000007,-99.86946606476751
2018-05-21,3,Malerkotla,2,2.0887959,True,0,-4.352051947026096,4.5123,-96.44863920896431
2018-05-21,3,Moonak,2,2.0887959,True,0,-3.7586999999999997,3.7586999999999997,-100.0
2018-05-21,3,Sangrur,2,2.0887959,True,0,-3.4404305124610133,3.4405,-99.99798030696157
2018-05-21,3,Sunam,2,2.0887959,True,0,-3.5898,3.5898,-99.99999999999999
2018-05-22,3,Dhuri,2,2.0076053,True,0,-3.833289997365965,3.8583999999999996,-99.34921204037855
2018-05-22,3,Lehra,2,2.0076053,True,0,-3.4548272506220803,3.4593,-99.87070362853989
2018-05-22,3,Malerkotla,2,2.0076053,True,0,-4.476141990520871,4.6284,-96.71035326507801
2018-05-22,3,Moonak,2,2.0076053,True,0,-3.6502,3.6502,-100.0
2018-05-22,3,Sangrur,2,2.0076053,True,0,-3.4716305124610134,3.4717000000000002,-99.99799845784524
2018-05-22,3,Sunam,2,2.0076053,True,0,-3.5687,3.5687,-100.0
2018-05-23,3,Dhuri,2,2.0024617,True,0,-3.5795922228608315,3.9101000000000004,-91.54733185496103
2018-05-23,3,Lehra,2,2.0024617,True,0,-3.217585146873245,3.3573999999999997,-95.83562122098186
2018-05-23,3,Malerkotla,2,2.0024617,True,0,-4.020612736927886,4.6846000000000005,-85.82616951133257
2018-05-23,3,Moonak,2,2.0024617,True,0,-3.512359876755452,3.5126999999999997,-99.9903173272825
2018-05-23,3,Sangrur,2,2.0024617,True,0,-3.081338499205887,3.5091000000000006,-87.80993699825844
2018-05-23,3,Sunam,2,2.0024617,True,0,-2.653990043493386,3.5505,-74.74975478083047
2018-05-24,3,Dhuri,2,1.819476,True,0,-3.6796922228608313,4.0102,-91.75832185080124
2018-05-24,3,Lehra,2,1.819476,True,0,-3.1459537944155316,3.2854999999999994,-95.75266456903157
2018-05-24,3,Malerkotla,2,1.819476,True,0,-4.151312736927886,4.815300000000001,-86.21088482395459
2018-05-24,3,Moonak,2,1.819476,True,0,-3.4049598767554516,3.4052999999999995,-99.99001194477586
