forecast_date,url,status_code,available,content_length_bytes,content_length_mb,local_file_exists
2010-04-11,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/11/c3g_2010.04.11.tif,200.0,True,77239398.0,73.66,False
2010-04-12,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/12/c3g_2010.04.12.tif,200.0,True,69869064.0,66.63,False
2010-04-13,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/13/c3g_2010.04.13.tif,200.0,True,68304948.0,65.14,False
2010-04-14,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/14/c3g_2010.04.14.tif,200.0,True,69998956.0,66.76,False
2010-04-15,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/15/c3g_2010.04.15.tif,200.0,True,70536568.0,67.27,False
2010-04-16,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/16/c3g_2010.04.16.tif,200.0,True,69908608.0,66.67,False
2010-04-17,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/17/c3g_2010.04.17.tif,200.0,True,70604012.0,67.33,False
2010-04-18,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/18/c3g_2010.04.18.tif,200.0,True,71065194.0,67.77,False
2010-04-19,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/19/c3g_2010.04.19.tif,200.0,True,72093826.0,68.75,False
2010-04-20,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/20/c3g_2010.04.20.tif,200.0,True,72085582.0,68.75,False
2010-04-21,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/21/c3g_2010.04.21.tif,200.0,True,71749106.0,68.43,False
2010-04-22,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/22/c3g_2010.04.22.tif,200.0,True,68531816.0,65.36,False
2010-04-23,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/23/c3g_2010.04.23.tif,200.0,True,71456514.0,68.15,False
2010-04-24,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/24/c3g_2010.04.24.tif,200.0,True,71423426.0,68.11,False
2010-04-25,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/25/c3g_2010.04.25.tif,200.0,True,70863876.0,67.58,False
2010-04-26,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/26/c3g_2010.04.26.tif,200.0,True,75968498.0,72.45,False
2010-04-27,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/27/c3g_2010.04.27.tif,200.0,True,68912488.0,65.72,False
2010-04-28,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/28/c3g_2010.04.28.tif,200.0,True,71436636.0,68.13,False
2010-04-29,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/29/c3g_2010.04.29.tif,200.0,True,70836278.0,67.55,False
2010-04-30,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/04/30/c3g_2010.04.30.tif,200.0,True,71782656.0,68.46,False
