system:index,block,date,rainfall_mm,.geo
20100208_00000000000000000005,Sunam,2010-02-08,20.794946983482355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209_00000000000000000000,Dhuri,2010-02-09,1.7190801029117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209_00000000000000000001,Lehra,2010-02-09,1.3106362607701312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209_00000000000000000002,Malerkotla,2010-02-09,2.7880917862944665,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209_00000000000000000003,Moonak,2010-02-09,1.676306813650711,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209_00000000000000000004,Sangrur,2010-02-09,1.6090558180887182,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209_00000000000000000005,Sunam,2010-02-09,1.3762641275041498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210_00000000000000000000,Dhuri,2010-02-10,0.1726025842069405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210_00000000000000000001,Lehra,2010-02-10,0.12573506419148905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210_00000000000000000002,Malerkotla,2010-02-10,0.27405838167871394,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210_00000000000000000003,Moonak,2010-02-10,0.2467557049490163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210_00000000000000000004,Sangrur,2010-02-10,0.23590170193904084,"{""type"":""MultiPoint"",""coordinates"":[]}"
